Restaurant ID,Restaurant Name,City,Locality,Cuisines,Rating text,Votes
6317637,Le Petit Souffle,Makati City,"Century City Mall, Poblacion, Makati City","French, Japanese, Desserts",Excellent,314
6304287,Izakaya Kikufuji,Makati City,"Little Tokyo, Legaspi Village, Makati City",Japanese,Excellent,591
6300002,Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",Very Good,270
6318506,Ooma,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",Excellent,365
6314302,Sambo Kojin,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",Excellent,229
18189371,Din Tai Fung,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Chinese,Very Good,336
6300781,Buffet 101,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Asian, European",Very Good,520
6301290,Vikings,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Seafood, Filipino, Asian, European",Very Good,677
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","European, Asian, Indian",Excellent,621
6314987,Locavore,Pasig City,Kapitolyo,Filipino,Excellent,532
6309903,Silantro Fil-Mex,Pasig City,Kapitolyo,"Filipino, Mexican",Excellent,1070
6309455,Mad Mark's Creamery & Good Eats,Pasig City,Kapitolyo,"American, Ice Cream, Desserts",Very Good,488
6318433,Silantro Fil-Mex,Quezon City,"UP Town Center, Diliman, Quezon City","Filipino, Mexican",Excellent,294
6310470,Guevarra's,San Juan City,Addition Hills,Filipino,Very Good,458
6314605,Sodam Korean Restaurant,San Juan City,Little Baguio,Korean,Very Good,223
18185059,Cafe Arabelle,Santa Rosa,"Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",Good,29
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",Very Good,72
6318213,Balay Dako,Tagaytay City,Tagaytay City,Filipino,Excellent,211
